title,year,citations,cited_by_url
Yard crane and AGV scheduling in automated container terminal: A multi-robot task allocation framework,2020,11,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=6620023117418913876&scipsc="
Retrofit solution-mitigate 480V power system harmonics generated by automated guided vehicle charging system at container terminal,2017,4,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=7819677503154710398&scipsc="
Automated Container Terminal Production Operation and Optimization via an AdaBoost-Based Digital Twin Framework,2021,4,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=7819677503154710398&scipsc="
On the Automation of Ports and Logistics Chains in the Adriatic Region,2020,2,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=7882853533878106072&scipsc="
Challenges of implementing container terminal operating system: the case of the port of Mombasa from the Belt and Road Initiative (BRI) perspective,2020,8,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=5251800829124065686&scipsc="
Innovations in a container terminal area and electrical power distribution for the service continuity,2016,13,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=2073518609670608682&scipsc="
A simulation study of the performance of twin automated stacking cranes at a seaport container terminal,2017,57,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=6270368826736210893&scipsc="
Rule Based Object-Oriented Petri Net Modeling and Analysis of Container Terminal Logistic System,2007,6,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=10416392575126331695&scipsc="
A multi agent based simulator for managing a container terminal,2004,9,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=1438843715278102202&scipsc="
Performance Estimation and Design Optimization of a Congested Automated Container Terminal,2021,0,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=1438843715278102202&scipsc="
A multi-agent system for container terminal management,2008,10,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=11683198978044821780&scipsc="
Simulation Study of Loading/Unloading Operation on Train in Railway Container Terminal [J],2009,3,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=18195470729766095237&scipsc="
Dispatching automated guided vehicles in a container terminal,2005,71,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=1184241738954523625&scipsc="
Container terminal layout design: transition and future,2020,19,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=1279410398592227651&scipsc="
Modelling of integrated vehicle scheduling and container storage problems in unloading process at an automated container terminal,2016,51,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=11033361804526477858&scipsc="
Modeling and Simulation for Stevedoring Technology Scheme of a Novel Automatic Container Terminal System,2011,1,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=15658534974079913938&scipsc="
Digitalization in container terminal logistics: A literature review,2019,13,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=2375147179514089943&scipsc="
The future for GB container terminals-lecture of the Transport Research Foundation,2010,0,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=2375147179514089943&scipsc="
OPTIMIZATION OF OPERATIONS IN DURRES PORT CONTAINER'S TERMINAL,2012,2,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=13699063910821163684&scipsc="
Research on the integrated management of container terminal based on radio frequency identification technology,2011,2,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=10920369893038588579&scipsc="
Robotics-logistics: Challenges for automation of logistic processes,2008,62,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=8387941689858450641&scipsc="
Introduction to Intelligent Freight Transportation,2008,61,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=1045328547694803593&scipsc="
AUTOMATION IN PORT INDUSTRY AND ITS IMPACT ON PORT SUSTAINABILITY,0,0,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=1045328547694803593&scipsc="
Multi-agent system based collaborative operation system about ZPMC automatic container terminal,2013,4,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=14033376037562908706&scipsc="
Increasing effectiveness of the transportation network by using the automation of a Voronoi diagram,2018,40,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=14060595523802246955&scipsc="
Detection of grasping position from video images based on SSD,2018,3,"https://scholar.google.com.tw/scholar?start=00&hl=en&as_sdt=2005&sciodt=0,5&cites=3404924096601284171&scipsc="
